Gene,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
GENE_929,29,95,64,33,89,58,27,93,62,21,87,56
GENE_930,32,3,71,42,3,71,42,13,81,42,13,81
GENE_931,28,91,57,23,76,42,8,71,37,90,56,22
GENE_932,31,96,64,32,87,55,23,88,56,14,79,47
GENE_933,34,4,71,41,1,68,38,8,75,35,5,72
GENE_934,37,9,78,50,12,81,53,25,94,56,28,97
GENE_935,40,14,85,59,23,94,68,42,16,77,51,25
GENE_936,43,19,92,68,34,10,83,59,35,1,74,50
GENE_937,46,24,2,77,45,23,1,76,54,22,97,75
GENE_938,42,15,85,58,21,91,64,37,10,70,43,16
GENE_939,45,20,92,67,32,7,79,54,29,91,66,41
GENE_940,48,25,2,76,43,20,94,71,48,15,89,66
GENE_941,51,30,9,85,54,33,12,88,67,36,15,91
GENE_942,54,35,16,94,65,46,27,8,86,57,38,19
GENE_943,57,40,23,6,76,59,42,25,8,78,61,44
GENE_944,60,45,30,15,87,72,57,42,27,2,84,69
GENE_945,56,36,16,93,63,43,23,3,80,50,30,10
GENE_946,59,41,23,5,74,56,38,20,2,71,53,35
GENE_947,62,46,30,14,85,69,53,37,21,92,76,60
GENE_948,65,51,37,23,96,82,68,54,40,16,2,85
GENE_949,68,56,44,32,10,95,83,71,59,37,25,13
GENE_950,71,61,51,41,21,11,1,88,78,58,48,38
GENE_951,74,66,58,50,32,24,16,8,97,79,71,63
GENE_952,70,57,44,31,8,92,79,66,53,30,17,4
GENE_953,73,62,51,40,19,8,94,83,72,51,40,29
GENE_954,76,67,58,49,30,21,12,3,91,72,63,54
GENE_955,79,72,65,58,41,34,27,20,13,93,86,79
GENE_956,82,77,72,67,52,47,42,37,32,17,12,7
GENE_957,85,82,79,76,63,60,57,54,51,38,35,32
GENE_958,88,87,86,85,74,73,72,71,70,59,58,57
GENE_959,84,78,72,66,50,44,38,32,26,10,4,95
GENE_960,87,83,79,75,61,57,53,49,45,31,27,23
GENE_961,90,88,86,84,72,70,68,66,64,52,50,48
GENE_962,93,93,93,93,83,83,83,83,83,73,73,73
GENE_963,96,1,3,5,94,96,1,3,5,94,96,1
GENE_964,2,6,10,14,8,12,16,20,24,18,22,26
GENE_965,5,11,17,23,19,25,31,37,43,39,45,51
GENE_966,1,2,3,4,92,93,94,95,96,87,88,89
GENE_967,4,7,10,13,6,9,12,15,18,11,14,17
GENE_968,7,12,17,22,17,22,27,32,37,32,37,42
GENE_969,10,17,24,31,28,35,42,49,56,53,60,67
GENE_970,13,22,31,40,39,48,57,66,75,74,83,92
GENE_971,16,27,38,49,50,61,72,83,94,95,9,20
GENE_972,19,32,45,58,61,74,87,3,16,19,32,45
GENE_973,15,23,31,39,37,45,53,61,69,67,75,83
GENE_974,18,28,38,48,48,58,68,78,88,88,1,11
GENE_975,21,33,45,57,59,71,83,95,10,12,24,36
GENE_976,24,38,52,66,70,84,1,15,29,33,47,61
GENE_977,27,43,59,75,81,97,16,32,48,54,70,86
GENE_978,30,48,66,84,92,13,31,49,67,75,93,14
GENE_979,33,53,73,93,6,26,46,66,86,96,19,39
GENE_980,29,44,59,74,79,94,12,27,42,47,62,77
GENE_981,32,49,66,83,90,10,27,44,61,68,85,5
GENE_982,35,54,73,92,4,23,42,61,80,89,11,30
GENE_983,38,59,80,4,15,36,57,78,2,13,34,55
GENE_984,41,64,87,13,26,49,72,95,21,34,57,80
GENE_985,44,69,94,22,37,62,87,15,40,55,80,8
GENE_986,47,74,4,31,48,75,5,32,59,76,6,33
GENE_987,43,65,87,12,24,46,68,90,15,27,49,71
GENE_988,46,70,94,21,35,59,83,10,34,48,72,96
GENE_989,49,75,4,30,46,72,1,27,53,69,95,24
GENE_990,52,80,11,39,57,85,16,44,72,90,21,49
GENE_991,55,85,18,48,68,1,31,61,91,14,44,74
GENE_992,58,90,25,57,79,14,46,78,13,35,67,2
GENE_993,61,95,32,66,90,27,61,95,32,56,90,27
GENE_994,57,86,18,47,66,95,27,56,85,7,36,65
GENE_995,60,91,25,56,77,11,42,73,7,28,59,90
GENE_996,63,96,32,65,88,24,57,90,26,49,82,18
GENE_997,66,4,39,74,2,37,72,10,45,70,8,43
GENE_998,69,9,46,83,13,50,87,27,64,91,31,68
GENE_999,72,14,53,92,24,63,5,44,83,15,54,93
